Context	en_US	en_GB	de_DE	is_IS	it_IT	ru_RU	uk_UA	fr_FR	es_ES	ko_KR	ja_JP	zh_CN
Firmware	Error flashing firmware.	Error flashing firmware.	Fehler beim Aufspielen der Firmware.	Villa við uppfærslu á hugbúnaði.		Ошибка записи прошивки.					ファームウェアをフラシュ中にエラーが発生しました。	刷写固件错误
Firmware	Flashing done!	Flashing done!	Firmware aufgespielt!	Uppfærslu lokið!		Прошивка завершена успешно!					フラシュ完了！	刷写完成！
Firmware	Firmware Flashing Utility	Firmware Flashing Utility	Firmware-Dienstprogramm	Hugbúnaðar uppfærsla		Утилита для прошивки					ファームウェアフラッシュしているユーティリティ	固件刷写
Firmware	Port	Port	Schnittstelle	Tengi	Porta	Порт	порт	Port	Puerto		ポート	端口
Firmware	Controller	Controller	Mikrocontroller	Örgjörvi	Microcontroller	Микроконтроллер	Мікроконтролер	Microcontrôleur	Microcontrolador		コントローラ	控制器
Firmware	Firmware Version	Firmware Version	Firmware-Version	Hugbúnaðarútgáfa	Versione del Firmware	Версия Прошивки	Версія Прошивки	Version du Firmware	Versión del Firmware		ファームウェアのバージョン	固件版本
Firmware	Flash	Flash	Aufspielen	Uppfæra	Programma	Прошивка		Flasher	Flashear		フラッシュ	刷写
Scene	Image dimensions	Image dimensions	Mustergröße	Myndastærð	Dimensione dell'immagine	Размер изображения	Розмір зображення	Dimensions de l'image	Dimensiones de la imagen	이미지 치수	イメージサイズ	图像尺寸
Dock	Port Selection	Port Selection	Schnittstelle wählen	Velja tengi	Selezione porta seriale	Выбрать порт	Вибір порту	Sélection du port	Seleccionar puerto	포트 선택	ポートの選択	端口选择
Dock	Refresh	Refresh	Aktualisieren	Endurnýja	Ricarica	Обновить	Оновити	Réactualiser	Actualizar	리플레시	リフレッシュ	刷新
Dock	Settings	Settings	Einstellungen	Stillingar	Impostazioni	Настройки	Налаштування	Paramètres	Ajustes	설정	設定	设置
Dock	Status	Status	Status	Staða	Stato	Статус	Стан	Statut	Estado	상태	状態	状态
Options	Knitting Mode	Knitting Mode	Strickmodus	Prjóna stilling	Modalità di lavorazione	Режим вязания	Режим в'язання	Mode tricot	Método de tejido	니팅 모드	編みモード	编织模式
Options	Colors	Colours	Farben	Litir	Colori	Цвета	Кольори	Couleurs	Colores	색상들	色	颜色
Options	Start Row	Start Row	Startzeile	Byrja umferð	Inizio giro	Начальный ряд	Початковий ряд	Commencer au rang	Fila de inicio	시작 단	スタート段	起始行
Options	Infinite Repeat	Infinite Repeat	Unendlich wiederholen	Endurtekning	Ripetizione infinita	Повторять	Нескінченне повторення	Répétition a l'infini	Repetición infinita	무한 반복	無限リピート	无限重复
Options	Start Needle	Start Needle	Startnadel	Byrjunar nál	Ago iniziale	Стартовая игла	Початкова голка	Première aiguille	Aguja de inicio	시작 바늘	スタート針	起始针
Options	Stop Needle	Stop Needle	Stopnadel	Enda nál	Ago finale	Конечная игла	Остання голка	Dernière aiguille	Aguja de parada	끝나는 바늘	止針	结束针
Options	Alignment	Alignment	Ausrichtung	Jafna	Allineamento	Выравнивание	Вирівнювання	Alignement	Alineamiento	조정	アライメント	对齐
Options	Knit Side Image	Mirror Image	Muster spiegeln	Spegilmynd	Ribalta l'immagine	Зеркальное отражение	Дзеркальне зображення	Image miroir	Imagen espejo	거울 이미지	鏡像	镜像
Options	Continuous Status Reporting	Continuous Status Reporting	Kontinuierlicher Status	Stöðug skýrsla	Report continuativo	Непрерывный отчет о статусе	Постійне звітування про стан	Rapport de situation en continu	Informe de estado continuo	지속적 상태 보고	継続的なステータスレポート	持续状态报告
StatusTab	Hall Sensors	Hall Sensors	Hall-Effekt-Sensoren	Skynjari	Apparato sensori	Датчики Холла	Датчики Холла	Capteurs à effet Hall	Sensores de effecto Hall	홀 센서		霍尔传感器
StatusTab	Hall Left	Hall Left	Hallsensor links	Vinstri skynjari	Apparato sensore sinistro	Датчик Холла слева	Лівий датчик Холла	Hall Gauche	Hall izquierda	홀 왼쪽		霍尔左
StatusTab	Hall Right	Hall Right	Hallsensor rechts	Hægri skynjari	Apparato sensore destro	Датчик Холла справа	Правий датчик Холла	Hall Droite	Hall derecha	홀 오른쪽		霍尔右
StatusTab	Carriage	Carriage	Schlitten	Vagn	Carrello	Каретка	Каретка	Chariot	Carro	캐리지	キャリジ	机头
StatusTab	No carriage detected	No carriage detected	Kein Schlitten erkannt	Finn ekki vagn	Carrello non selezionato	Каретка не обнаружена	Каретку не виявлено	Chariot non détecté 	Carro no detectado	캐리지가 연결되지 않음	キャリジが検出されませんでした	未检测到机头
StatusTab	direction	direction	Richtung	Stefna	direzione	направление	напрямок	direction	dirección	방향	方向	方向
StatusTab	Progress	Progress	Fortschritt	Staða	Progressione	Прогресс	Прогрес	Progrès	Progreso	진행	進捗	进程
StatusTab	progress	progress	Fortschritt	staða	progressione	прогресс	прогрес	progrès	progreso	진행	進捗	进程
StatusTab	Center	Centre	Zentriert	Miðja	Centra	По центру	Центр	Centre	Centrar	중앙	中心	中心
StatusTab	Left	Left	Links	Vinstri	Sinistra	Слева	Ліворуч	Gauche	Izquierda	왼쪽	左	左
StatusTab	Right	Right	Rechts	Hægri	Destra	Справа	Праворуч	Droite	Derecha	오른쪽	右	右
MainWindow	Website	Website	Webseite	Vefsíða	Sito web	Интернет сайт	Веб-сайт	Site Internet	Sitio web	웹사이트	Web サイト	网页
MainWindow	Manual	Manual	Anleitung	Handbók	Manuale	Справочник	Посібник	Manuel	Manual	매뉴얼	マニュアル	手册
MainWindow	Assistant	Assistant	Assistent	Aðstoð	Assistente	Помощник	Помічник	Assistant	Asistente	어시스턴트	アシスタント	助手
MainWindow	1. Open Image File	1. Open Image File	1. Muster öffnen	1. Hlaðið myndskrá	1. Carica l'immagine	1. Загрузить изображение	1. Завантажити зображення	1. Charger une image	1. Cargar archivo de imagen	1. 이미지 파일 부르기	イメージファイルの読み込み	1.读取图像文件
MainWindow	Knitting Options	Knitting Options	Strickeinstellungen	Prjóna valkostir	Opzioni Lavorazione	Варианты вязания	Варіанти в'язання	Options de tricot	Opciones de tejido	니팅 옵션	編み設定	编织选项
MainWindow	2. Knit	2. Knit	2. Stricken	2. Prjónið	2. Lavora	2. Вязание	2. В'язання	2. Tricoter	2. Tejer	2. 니트!	編む	2.编织
MainWindow	Test	Test	Testen	Prófa	Test	Тест	Тест	Tester		테스트	テスト	测试
MainWindow	Cancel	Cancel	Abbrechen	Hætta við	Annulla	Отмена	Скасувати	Annuler	Cancelar	취소	キャンセル	取消
MainWindow	Open Knitting Project	Open Knitting Project	Projekt öffnen	Opna skrá	Apri il progetto	Начать новый проект	Відкрити в'язальний проєкт	Ouvrir un projet	Abrir proyecto de tejido	니팅 프로젝트 열기	編み物プロジェクトを開く	打开编织项目
MenuBar	File	File	Datei	Skrá	File	Файл	Файл	Fichier	Archivo	파일	ファイル	文件
MenuBar	Help	Help	Hilfe	Hjálp	Aiuto	Помощь	Допомога	Aide	Ayuda	도움	ヘルプ	帮助
MenuBar	Tools	Tools	Werkzeuge	Verkfæri	Strumenti	Инструменты	Інструменти	Outils	Utiles	도구		工具
